         46737219 function calls (46211385 primitive calls) in 631.357 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:5(GRUBlockCellGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(GenerateVocabRemapping)
        1    0.000    0.000    0.000    0.000 <string>:5(GetItemOpts)
        1    0.000    0.000    0.000    0.000 <string>:5(GradPackTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(Graph)
        1    0.000    0.000    0.000    0.000 <string>:5(GraphRewriteSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(HashedCategoricalColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(HasherSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(HistogramResult)
        1    0.000    0.000    0.000    0.000 <string>:5(IdWeightPair)
        1    0.000    0.000    0.000    0.000 <string>:5(IdentityCategoricalColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(IndexedSlicesValue)
        1    0.000    0.000    0.000    0.000 <string>:5(IndicatorColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(InfoGANModel)
        1    0.000    0.000    0.000    0.000 <string>:5(InputFnOps)
        1    0.000    0.000    0.000    0.000 <string>:5(InputStatistics)
        1    0.000    0.000    0.000    0.000 <string>:5(KendalltauResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KruskalResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Ks_2sampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KstestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(KurtosistestResult)
        1    0.000    0.000    0.000    0.000 <string>:5(LSTMBlockCell)
        1    0.000    0.000    0.000    0.000 <string>:5(LSTMBlockCellGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(LSTMStateTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(LearnedUnigramCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(LeveneResult)
        1    0.000    0.000    0.000    0.000 <string>:5(LineLocation)
        1    0.000    0.000    0.000    0.000 <string>:5(LinregressResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ListDiff)
        1    0.000    0.000    0.000    0.000 <string>:5(ListPopOpts)
        1    0.000    0.000    0.000    0.000 <string>:5(ListStackOpts)
        1    0.000    0.000    0.000    0.000 <string>:5(Location)
        1    0.000    0.000    0.000    0.000 <string>:5(LogMatrixDeterminant)
        1    0.000    0.000    0.000    0.000 <string>:5(LogUniformCandidateSampler)
